	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
catboost	CatBoost Regressor	11.4783	196.8355	13.9874	0.2466	0.3211	0.2971	6.416
gbr	Gradient Boosting Regressor	11.7359	206.0165	14.3089	0.2127	0.3287	0.3053	0.607
lightgbm	Light Gradient Boosting Machine	11.7429	207.5672	14.3587	0.2039	0.3296	0.305	0.75
rf	Random Forest Regressor	12.1892	217.6379	14.712	0.1681	0.3363	0.3158	1.877
et	Extra Trees Regressor	12.4004	220.0418	14.7804	0.162	0.3377	0.3206	1.479
ada	AdaBoost Regressor	12.8266	230.9838	15.1325	0.1278	0.3377	0.3143	0.352
xgboost	Extreme Gradient Boosting	12.5051	236.3622	15.3063	0.0959	0.3494	0.3234	0.368
br	Bayesian Ridge	13.3816	254.3835	15.8953	0.0346	0.3629	0.3451	0.104
dummy	Dummy Regressor	13.8937	270.3382	16.3824	-0.0227	0.3698	0.3591	0.051
knn	K Neighbors Regressor	14.4179	302.3107	17.3646	-0.1626	0.389	0.366	0.058
omp	Orthogonal Matching Pursuit	15.257	363.6486	18.9546	-0.3866	0.4349	0.3919	0.044
dt	Decision Tree Regressor	16.7414	442.5302	21.0164	-0.7186	0.4742	0.4101	0.084
llar	Lasso Least Angle Regression	18.0297	593.6756	24.001	-1.2996	0.553	0.4577	0.076
huber	Huber Regressor	21.5508	823.8075	28.5226	-2.1684	0.664	0.5048	0.131
par	Passive Aggressive Regressor	34.7641	2481.1707	48.7794	-8.5434	0.9652	0.8369	0.059
lasso	Lasso Regression	31.0289	2847.1176	51.77	-9.8775	0.7653	0.7498	0.164
en	Elastic Net	36.7104	4688.8635	65.1698	-16.8816	0.8289	0.8804	0.069
ridge	Ridge Regression	41.017	5347.0849	71.5601	-20.0531	0.8914	0.9859	0.055
lr	Linear Regression	64.6414	17960.8096	127.7067	-68.928	1.0116	1.5476	0.416
lar	Least Angle Regression	8848.2269	958347325.1779	14038.8834	-3259808.8909	2.707	219.9924	0.063
