Fold	MAE	MSE	RMSE	R2	RMSLE	MAPE
0	11.9266	197.8061	14.0644	0.3192	0.3262	0.3087
1	11.9714	211.2632	14.5349	0.2756	0.326	0.2954
2	9.3656	138.7595	11.7796	0.2301	0.3006	0.2771
3	11.5545	187.8113	13.7044	0.2482	0.3026	0.2759
4	11.921	212.8527	14.5895	0.2717	0.3143	0.2872
5	13.4284	233.5071	15.2809	0.0954	0.3745	0.3879
6	12.5875	240.5152	15.5086	0.3085	0.3434	0.3155
7	11.6862	199.8809	14.1379	0.027	0.325	0.299
8	11.3918	204.1009	14.2864	0.1296	0.3352	0.309
9	10.8896	198.3968	14.0853	0.337	0.3125	0.2687
Mean	11.6723	202.4894	14.1972	0.2242	0.326	0.3024
Std	1.0081	26.3011	0.9639	0.0994	0.0206	0.0322
